lat,lon,timestamp_value,time_value
47.04324,8.346276,736764291,08:44:51
47.04342,8.346037,736764312,08:45:12
47.04389,8.345634,736764322,08:45:22
47.04409,8.345406,736764332,08:45:32
47.04427,8.345126,736764342,08:45:42
47.04446,8.344879,736764352,08:45:52
47.04468,8.344671,736764364,08:46:04
47.04489,8.3444,736764373,08:46:13
47.04505,8.344088,736764383,08:46:23
47.04522,8.34374,736764394,08:46:34
47.04542,8.34347,736764404,08:46:44
47.04565,8.343231,736764414,08:46:54
47.04582,8.342967,736764426,08:47:06
47.04597,8.342604,736764435,08:47:15
47.04612,8.342287,736764445,08:47:25
47.04629,8.342011,736764455,08:47:35
47.04646,8.341688,736764466,08:47:46
47.04659,8.341354,736764476,08:47:56
47.04674,8.341041,736764488,08:48:08
47.04691,8.340709,736764497,08:48:17
47.047,8.340375,736764507,08:48:27
47.0471,8.340016,736764517,08:48:37
47.04723,8.339657,736764528,08:48:48
47.04732,8.339303,736764538,08:48:58
47.04742,8.338943,736764550,08:49:10
47.04754,8.33855,736764559,08:49:19
47.04769,8.338175,736764569,08:49:29
47.0478,8.33778,736764579,08:49:39
47.04792,8.337334,736764590,08:49:50
47.04807,8.336963,736764600,08:50:00
47.04822,8.336602,736764612,08:50:12
47.04835,8.336184,736764621,08:50:21
47.04852,8.335822,736764631,08:50:31
47.0487,8.335477,736764641,08:50:41
47.04884,8.335086,736764652,08:50:52
47.049,8.334765,736764662,08:51:02
47.0492,8.334497,736764683,08:51:23
47.04957,8.333893,736764693,08:51:33
47.04975,8.333604,736764703,08:51:43
47.04995,8.333329,736764713,08:51:53
47.05015,8.33307,736764723,08:52:03
47.05038,8.332813,736764735,08:52:15
47.05057,8.332552,736764745,08:52:25
47.05077,8.33223,736764755,08:52:35
47.05097,8.331957,736764765,08:52:45
47.05117,8.331714,736764775,08:52:55
47.05135,8.331439,736764785,08:53:05
47.0515,8.331076,736764797,08:53:17
47.05163,8.33074,736764806,08:53:26
47.05178,8.330414,736764816,08:53:36
47.05196,8.330069,736764827,08:53:47
47.05209,8.329761,736764837,08:53:57
47.05224,8.329425,736764847,08:54:07
47.05236,8.329096,736764859,08:54:19
47.05251,8.328699,736764868,08:54:28
47.05264,8.328365,736764878,08:54:38
47.05274,8.328012,736764888,08:54:48
47.05283,8.327618,736764899,08:54:59
47.05295,8.327279,736764909,08:55:09
47.05308,8.326952,736764921,08:55:21
47.0532,8.326572,736764930,08:55:30
47.05326,8.326188,736764940,08:55:40
47.05329,8.325806,736764950,08:55:50
47.05337,8.325431,736764960,08:56:00
47.05344,8.325012,736764971,08:56:11
47.05348,8.324621,736764982,08:56:22
47.05352,8.32424,736764991,08:56:31
47.05355,8.323851,736765002,08:56:42
47.05362,8.32344,736765012,08:56:52
47.05371,8.323078,736765022,08:57:02
47.05377,8.322688,736765032,08:57:12
47.0538,8.322296,736765044,08:57:24
47.05383,8.321858,736765053,08:57:33
47.05389,8.321484,736765063,08:57:43
