lat,lon,time_value,date_value
47.00553,8.309994,09:14:33,2023-05-28
47.00535,8.309831,09:14:45,2023-05-28
47.00511,8.309677,09:14:54,2023-05-28
47.0049,8.309581,09:15:04,2023-05-28
47.00466,8.309547,09:15:14,2023-05-28
47.00443,8.309514,09:15:24,2023-05-28
47.00418,8.30951,09:15:35,2023-05-28
47.00396,8.309564,09:15:46,2023-05-28
47.00374,8.309712,09:15:55,2023-05-28
47.00359,8.309871,09:16:05,2023-05-28
47.00339,8.310071,09:16:16,2023-05-28
47.00321,8.31024,09:16:26,2023-05-28
47.00303,8.310389,09:16:36,2023-05-28
47.00284,8.310603,09:16:48,2023-05-28
47.00267,8.310844,09:16:57,2023-05-28
47.00251,8.311036,09:17:07,2023-05-28
47.00231,8.31124,09:17:17,2023-05-28
47.00214,8.311461,09:17:27,2023-05-28
47.00196,8.311686,09:17:38,2023-05-28
47.00178,8.311855,09:17:50,2023-05-28
47.00159,8.312009,09:17:58,2023-05-28
47.00136,8.31215,09:18:09,2023-05-28
47.00115,8.312263,09:18:19,2023-05-28
47.00094,8.31239,09:18:29,2023-05-28
47.00073,8.312495,09:18:39,2023-05-28
47.00053,8.312627,09:18:51,2023-05-28
47.0003,8.312776,09:19:00,2023-05-28
47.0001,8.312923,09:19:10,2023-05-28
46.99986,8.313042,09:19:21,2023-05-28
46.99964,8.313098,09:19:31,2023-05-28
46.99942,8.313131,09:19:41,2023-05-28
46.99921,8.313219,09:19:53,2023-05-28
46.99898,8.313331,09:20:02,2023-05-28
46.99877,8.313453,09:20:12,2023-05-28
46.99858,8.313632,09:20:22,2023-05-28
46.99842,8.313854,09:20:32,2023-05-28
46.99827,8.31413,09:20:43,2023-05-28
46.99811,8.314336,09:20:54,2023-05-28
46.99795,8.314523,09:21:03,2023-05-28
46.99775,8.314729,09:21:14,2023-05-28
46.99759,8.314939,09:21:24,2023-05-28
46.99745,8.315188,09:21:34,2023-05-28
46.99734,8.315448,09:21:44,2023-05-28
46.9972,8.315713,09:21:57,2023-05-28
